Repo Name,Contributing Guildlines Link,Commenting Practice Related Content,label,,A's label,B's label,Final label
SeqWare/seqware,https://seqware.github.io/docs/100-coding-standards/,Checkstyle Configuration,,,,,
ControlSystemStudio/cs-studio,"https://github.com/ControlSystemStudio/cs-studio/wiki/HowToContribute
https://github.com/ControlSystemStudio/cs-studio/wiki/CodingGuidelines",\,,,,,
hibernate/hibernate-ogm-ignite,http://hibernate.org/ogm/contribute/,"A pull request can contain several commits but should be self contained: include the implementation, its unit tests, its documentation and javadoc changes if needed.",,,other->maintenance->update,other->maintenance->update,other->maintenance->update
mulesoft/mule,https://github.com/mulesoft/mule/blob/master/CONTRIBUTING.md,\,,,,,
astubbs/spring-modules,\,\,,,,,
apache/james-project,https://james.apache.org/contribute.html,"Anything not explicitly mentioned in this document should adhere to the official Sun Java Coding Conventions
Javadoc MUST exist on all API methods. Contributing a missing javadoc for any method, class, variable, etc., will be GREATLY appreciated as this will help to improve the James project.",where to comment,Sun Guide,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods ,where->general_rules->explicit->all_methods 
ibissource/iaf,https://github.com/ibissource/iaf/blob/master/CONTRIBUTING.md,"Each class that can be used in a configuration must contain the following documentation:
Class level IbisDoc, not larger then 5 to 10 lines
For each configurable attribute, IbisDoc must not be larger then 2 lines
Any examples and more detailed information, that has to be incorperated in to the IbisManual, should be provided as a separate file(s) attached to the pull request

Please ensure that your Javadoc comments are correct. Eclipse can check this for you",,,where->general_rules->explicit->all_classes other->readability->space_indent,where->general_rules->explicit->all_classes other->readability->space_indent,where->general_rules->explicit->all_classes other->readability->space_indent
apache/isis,"https://github.com/apache/isis/blob/master/CONTRIBUTING.adoc
https://isis.apache.org/conguide/2.0.0-M4/about.html
https://isis.apache.org/conguide/2.0.0-M4/eclipse/_attachments/Apache-code-style-template.xml
https://isis.apache.org/conguide/2.0.0-M4/eclipse/_attachments/Apache-code-style-formatting.xml",Apache Code Style enforced by Eclipse using the configuration files,,Apache Code Style,,,
sigmah-dev/sigmah,\,\,,,,,
gwtproject/gwt,http://www.gwtproject.org/makinggwtbetter.html,"Every file should have an Apache license header at the top, prefaced with a copyright notice. A package statement and import statements should follow, each block separated by a blank line. Next is the class or interface declaration. In the Javadoc comments, describe what the class or interface does.",what to comment,,what->required->functionality,what->required->functionality,what->required->functionality
dbs-leipzig/gradoop,\,\,,,,,
apache/poi,"http://poi.apache.org/devel/
https://poi.apache.org/devel/resolutions/res001.html",\,,,,,
